DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241704156,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0001,17,Devonshire,1792,2,354,THEFT OF IDENTITY,1822 0930,50,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,20000    COMMUNITY                    ST,,34.2222,-118.5689
240604822,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1405,06,Hollywood,0636,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0400 0329 1822,36,M,B,101,STREET,,,IC,Invest Cont,740,,,,6400    YUCCA                        ST,,34.1039,-118.3297
240204087,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1800,02,Rampart,0285,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,12TH                         ST,UNION                        AV,34.0462,-118.276
241704071,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0545,17,Devonshire,1723,2,946,OTHER MISCELLANEOUS CRIME,0443 1822 1906,0,X,X,721,HIGH SCHOOL,,,IC,Invest Cont,946,,,,20800    RINALDI                      ST,,34.2701,-118.5863
240904055,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1130,09,Van Nuys,0985,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,4200    COSTELLO                     AV,,34.1468,-118.4373
241704066,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1935,17,Devonshire,1713,1,310,BURGLARY,1609 0344 0321 0216,36,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,11500    LYSTER                       AV,,34.2812,-118.5416
241704384,01/08/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1002,17,Devonshire,1794,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 0352 0344,33,F,F,145,MAIL BOX,,,IC,Invest Cont,440,,,,18200    SCHOENBORN                   ST,,34.2219,-118.5296
240704079,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0430,07,Wilshire,0758,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0445 0416 0913 0446,36,M,A,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,998,,,1200    CRENSHAW                     BL,,34.0519,-118.3306
240204292,01/06/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1700,02,Rampart,0237,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1400    MIRAMAR                      ST,,34.0593,-118.261
240704051,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0900,07,Wilshire,0758,1,330,BURGLARY FROM VEHICLE,0342 0358 1609 1307 0344 1822,50,M,H,101,STREET,,,IC,Invest Cont,330,,,,1200 S  PLYMOUTH                     BL,,34.0504,-118.3296
240204054,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2205,02,Rampart,0211,1,210,ROBBERY,0342 1822 1309 0202 0416 0446 0916 0330,23,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,510,,,MELROSE,NORMANDIE,34.0836,-118.3005
240704062,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1705,07,Wilshire,0763,2,886,DISTURBING THE PEACE,1501,45,M,B,101,STREET,,,IC,Invest Cont,886,,,,1400    ELLSMERE                     AV,,34.05,-118.3604
240704046,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0657,07,Wilshire,0762,2,755,BOMB SCARE,1906 2057 1528 0903 2053,23,X,X,730,SYNAGOGUE/TEMPLE,511,VERBAL THREAT,IC,Invest Cont,755,,,,6000 W  PICO                         BL,,34.0524,-118.3711
241704062,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0620,17,Devonshire,1757,1,310,BURGLARY,0344 0397 1602 0216 0209 1300,39,M,H,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,9900    BALBOA                       BL,,34.2503,-118.5024
240204219,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1730,02,Rampart,0269,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1501,36,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,700 S  BIXEL                        ST,,34.0509,-118.2642
240604092,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1300,06,Hollywood,0644,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 0400 0416,44,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,1400 N  GARDNER                      ST,,34.0962,-118.3529
240704144,01/04/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1215,07,Wilshire,0722,1,352,PICKPOCKET,1822 0344,45,F,W,116,OTHER/OUTSIDE,,,IC,Invest Cont,352,,,,8400    BEVERLY                      BL,,34.0761,-118.3732
240604045,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0900,06,Hollywood,0636,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2004 1822 0329,44,F,W,101,STREET,,,IC,Invest Cont,740,,,,HIGHLAND,HOLLYWOOD,34.1016,-118.3387
240604304,01/06/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1500,06,Hollywood,0645,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0344 1822,61,M,H,101,STREET,,,IC,Invest Cont,331,,,,DE LONGPRE,CHEROKEE,34.1006,-118.3417
240704177,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1951,07,Wilshire,0722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822,0,X,X,417,THE BEVERLY CONNECTION,,,IC,Invest Cont,442,,,,8400    BEVERLY                      BL,,34.0761,-118.3732
240704050,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0815,07,Wilshire,0765,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0500,0,X,X,726,POLICE FACILITY,,,AO,Adult Other,845,,,,4800    VENICE                       BL,,34.0467,-118.3407
241704322,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1730,17,Devonshire,1747,1,330,BURGLARY FROM VEHICLE,0344 1202 0329,77,F,W,101,STREET,,,IC,Invest Cont,330,,,,PETIT,SAN JOSE,34.2611,-118.498
240704029,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0245,07,Wilshire,0755,1,310,BURGLARY,0329 1607,23,X,X,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,5200 W  PICO                         BL,,34.051,-118.3538
241704180,01/04/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1900,17,Devonshire,1738,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,11000    HASKELL                      AV,,34.2703,-118.476
240204212,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1420,02,Rampart,0204,2,354,THEFT OF IDENTITY,0100 0928,50,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,800    LUCILE                       AV,,34.0838,-118.2836
240704045,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0655,07,Wilshire,0723,1,761,BRANDISH WEAPON,2004 0334 1822,49,M,H,203,OTHER BUSINESS,216,SCISSORS,IC,Invest Cont,761,,,,7900    BEVERLY                      BL,,34.0761,-118.3616
240704070,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0800,07,Wilshire,0788,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,64,F,B,101,STREET,,,IC,Invest Cont,740,,,,CRENSHAW                     BL,W  WASHINGTON                   BL,34.0399,-118.3311
240204237,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1200,02,Rampart,0251,2,354,THEFT OF IDENTITY,0100 0930,31,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2600    WILSHIRE                     BL,,34.0605,-118.2814
240204217,01/05/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1226,02,Rampart,0251,2,354,THEFT OF IDENTITY,0100 0930,31,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2600    WILSHIRE                     BL,,34.0605,-118.2814
240704063,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2140,07,Wilshire,0782,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 1253,29,M,B,801,MTA BUS,113,SIMULATED GUN,AA,Adult Arrest,930,,,,CADILLAC,VENICE,34.0376,-118.3749
241704068,01/03/2024 12:00:00 AM,01/02/2024 12:00:00 AM,2200,17,Devonshire,1764,1,310,BURGLARY,1501,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,310,,,,9300    TAMPA                        AV,,34.244,-118.5583
241704054,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1215,17,Devonshire,1791,1,350,"THEFT, PERSON",1202 0352 1402 0380 1300,92,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,350,998,,,8400    LURLINE                      AV,,34.2222,-118.5842
